period,lines_changed,file_path,source
3m,834,app/index.js,parent
1y,834,app/index.js,parent
1m,834,app/index.js,parent
3m,779,app/review.js,parent
1y,779,app/review.js,parent
1m,779,app/review.js,parent
3m,730,tests/unit/output.test.js,parent
1y,730,tests/unit/output.test.js,parent
1m,730,tests/unit/output.test.js,parent
3m,681,tests/integration/parallel-reviews-e2e.test.js,parent
1y,681,tests/integration/parallel-reviews-e2e.test.js,parent
1m,681,tests/integration/parallel-reviews-e2e.test.js,parent
3m,574,tests/unit/review-mece-merge.test.js,parent
1y,574,tests/unit/review-mece-merge.test.js,parent
1m,574,tests/unit/review-mece-merge.test.js,parent
3m,559,tests/unit/review-parallel.test.js,parent
1y,559,tests/unit/review-parallel.test.js,parent
1m,559,tests/unit/review-parallel.test.js,parent
3m,526,tests/integration/sub-agent-review.e2e.test.js,parent
1y,526,tests/integration/sub-agent-review.e2e.test.js,parent
1m,526,tests/integration/sub-agent-review.e2e.test.js,parent
3m,507,tests/unit/review.test.js,parent
1y,507,tests/unit/review.test.js,parent
1m,507,tests/unit/review.test.js,parent
3m,496,tests/unit/retry.test.js,parent
1y,496,tests/unit/retry.test.js,parent
1m,496,tests/unit/retry.test.js,parent
3m,451,tests/unit/context.test.js,parent
1y,451,tests/unit/context.test.js,parent
1m,451,tests/unit/context.test.js,parent
3m,445,tests/unit/sub-agent-orchestrator.test.js,parent
1y,445,tests/unit/sub-agent-orchestrator.test.js,parent
1m,445,tests/unit/sub-agent-orchestrator.test.js,parent
3m,431,app/utils/retry.js,parent
1y,431,app/utils/retry.js,parent
1m,431,app/utils/retry.js,parent
3m,409,tests/unit/synthesis.test.js,parent
1y,409,tests/unit/synthesis.test.js,parent
1m,409,tests/unit/synthesis.test.js,parent
3m,364,app/context.js,parent
1y,364,app/context.js,parent
1m,364,app/context.js,parent
3m,358,tests/unit/mcp-utils.test.js,parent
1y,358,tests/unit/mcp-utils.test.js,parent
1m,358,tests/unit/mcp-utils.test.js,parent
3m,345,tests/performance/sub-agent-benchmark.test.js,parent
1y,345,tests/performance/sub-agent-benchmark.test.js,parent
1m,345,tests/performance/sub-agent-benchmark.test.js,parent
3m,332,app/output.js,parent
1y,332,app/output.js,parent
1m,332,app/output.js,parent
3m,308,tests/unit/errorHelpers.test.js,parent
1y,308,tests/unit/errorHelpers.test.js,parent
1m,308,tests/unit/errorHelpers.test.js,parent
3m,305,tests/integration/phase1-e2e.test.js,parent
1y,305,tests/integration/phase1-e2e.test.js,parent
1m,305,tests/integration/phase1-e2e.test.js,parent
3m,303,tests/unit/discovery.test.js,parent
1y,303,tests/unit/discovery.test.js,parent
1m,303,tests/unit/discovery.test.js,parent
3m,297,app/discovery.js,parent
1y,297,app/discovery.js,parent
1m,297,app/discovery.js,parent
3m,275,tests/e2e/full-flow.test.js,parent
1y,275,tests/e2e/full-flow.test.js,parent
1m,275,tests/e2e/full-flow.test.js,parent
3m,251,tests/unit/validators.test.js,parent
1y,251,tests/unit/validators.test.js,parent
1m,251,tests/unit/validators.test.js,parent
3m,238,tests/integration/sub-agents-e2e.test.js,parent
1y,238,tests/integration/sub-agents-e2e.test.js,parent
1m,238,tests/integration/sub-agents-e2e.test.js,parent
3m,222,tests/unit/state-manager.test.js,parent
1y,222,tests/unit/state-manager.test.js,parent
1m,222,tests/unit/state-manager.test.js,parent
3m,217,tests/unit/tracker.test.js,parent
1y,217,tests/unit/tracker.test.js,parent
1m,217,tests/unit/tracker.test.js,parent
3m,215,tests/unit/config.test.js,parent
1y,215,tests/unit/config.test.js,parent
1m,215,tests/unit/config.test.js,parent
3m,200,tests/unit/rollout.test.js,parent
1y,200,tests/unit/rollout.test.js,parent
1m,200,tests/unit/rollout.test.js,parent
3m,189,app/config.js,parent
1y,189,app/config.js,parent
1m,189,app/config.js,parent
3m,184,app/synthesis/FindingAggregator.js,parent
1y,184,app/synthesis/FindingAggregator.js,parent
1m,184,app/synthesis/FindingAggregator.js,parent
3m,183,app/tracker.js,parent
3m,183,app/state/StateManager.js,parent
1y,183,app/tracker.js,parent
1y,183,app/state/StateManager.js,parent
1m,183,app/tracker.js,parent
1m,183,app/state/StateManager.js,parent
3m,180,app/utils/errorHelpers.js,parent
1y,180,app/utils/errorHelpers.js,parent
1m,180,app/utils/errorHelpers.js,parent
3m,171,app/mcp-utils.js,parent
3m,171,app/agents/SubAgentOrchestrator.js,parent
1y,171,app/mcp-utils.js,parent
1y,171,app/agents/SubAgentOrchestrator.js,parent
1m,171,app/mcp-utils.js,parent
1m,171,app/agents/SubAgentOrchestrator.js,parent
3m,168,app/state/ReviewState.js,parent
1y,168,app/state/ReviewState.js,parent
1m,168,app/state/ReviewState.js,parent
3m,162,tests/unit/feature-flags.test.js,parent
1y,162,tests/unit/feature-flags.test.js,parent
1m,162,tests/unit/feature-flags.test.js,parent
3m,146,app/utils/validators.js,parent
1y,146,app/utils/validators.js,parent
1m,146,app/utils/validators.js,parent
3m,141,tests/unit/base-agent.test.js,parent
1y,141,tests/unit/base-agent.test.js,parent
1m,141,tests/unit/base-agent.test.js,parent
3m,133,tests/unit/review-state.test.js,parent
1y,133,tests/unit/review-state.test.js,parent
1m,133,tests/unit/review-state.test.js,parent
3m,126,app/utils/featureFlags.js,parent
1y,126,app/utils/featureFlags.js,parent
1m,126,app/utils/featureFlags.js,parent
3m,119,app/synthesis/DecisionMatrix.js,parent
1y,119,app/synthesis/DecisionMatrix.js,parent
1m,119,app/synthesis/DecisionMatrix.js,parent
3m,116,tests/unit/dateHelpers.test.js,parent
1y,116,tests/unit/dateHelpers.test.js,parent
1m,116,tests/unit/dateHelpers.test.js,parent
3m,59,app/agents/BaseAgent.js,parent
1y,59,app/agents/BaseAgent.js,parent
1m,59,app/agents/BaseAgent.js,parent
3m,31,tests/performance/run-benchmarks.sh,parent
1y,31,tests/performance/run-benchmarks.sh,parent
1m,31,tests/performance/run-benchmarks.sh,parent
3m,18,app/utils/dateHelpers.js,parent
1y,18,app/utils/dateHelpers.js,parent
1m,18,app/utils/dateHelpers.js,parent
